{'epoch': 0, 'batch_idx': 26, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.12345723062753677, 'time': 1651599056.2839708}, {'loss_type': 'value_loss', 'loss': 0.44355836510658264, 'time': 1651599056.283984}, {'loss_type': 'rolling_mean', 'loss': -0.148, 'time': 1651599056.2843573}], 'time': 1651599056.2843635, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 27, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.3219205439090729, 'time': 1651599058.141339}, {'loss_type': 'value_loss', 'loss': 0.4304908215999603, 'time': 1651599058.1413522}, {'loss_type': 'rolling_mean', 'loss': -0.158, 'time': 1651599058.141757}], 'time': 1651599058.1417632, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 28, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.08287899941205978, 'time': 1651599059.9942691}, {'loss_type': 'value_loss', 'loss': 0.4587036669254303, 'time': 1651599059.9942832}, {'loss_type': 'rolling_mean', 'loss': -0.154, 'time': 1651599059.9945636}], 'time': 1651599059.9945693, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 29, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.4007926881313324, 'time': 1651599061.8879988}, {'loss_type': 'value_loss', 'loss': 0.41807645559310913, 'time': 1651599061.8880122}, {'loss_type': 'rolling_mean', 'loss': -0.158, 'time': 1651599061.8883848}], 'time': 1651599061.8883905, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 30, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.14953148365020752, 'time': 1651599063.7419415}, {'loss_type': 'value_loss', 'loss': 0.46508485078811646, 'time': 1651599063.741955}, {'loss_type': 'rolling_mean', 'loss': -0.14, 'time': 1651599063.7423508}], 'time': 1651599063.7423568, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 31, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.146376833319664, 'time': 1651599065.6161911}, {'loss_type': 'value_loss', 'loss': 0.45060765743255615, 'time': 1651599065.616204}, {'loss_type': 'rolling_mean', 'loss': -0.132, 'time': 1651599065.6165555}], 'time': 1651599065.6165612, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 32, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.20923911035060883, 'time': 1651599067.509435}, {'loss_type': 'value_loss', 'loss': 0.4416338801383972, 'time': 1651599067.509448}, {'loss_type': 'rolling_mean', 'loss': -0.122, 'time': 1651599067.5097802}], 'time': 1651599067.5097864, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 33, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.18891337513923645, 'time': 1651599069.3657594}, {'loss_type': 'value_loss', 'loss': 0.41395556926727295, 'time': 1651599069.365773}, {'loss_type': 'rolling_mean', 'loss': -0.11, 'time': 1651599069.3661597}], 'time': 1651599069.366166, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 34, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.22001798450946808, 'time': 1651599071.2423494}, {'loss_type': 'value_loss', 'loss': 0.47864770889282227, 'time': 1651599071.2423627}, {'loss_type': 'rolling_mean', 'loss': -0.094, 'time': 1651599071.2427573}], 'time': 1651599071.2427635, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 35, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.02105744369328022, 'time': 1651599073.0996282}, {'loss_type': 'value_loss', 'loss': 0.4445475935935974, 'time': 1651599073.0996416}, {'loss_type': 'rolling_mean', 'loss': -0.096, 'time': 1651599073.1000235}], 'time': 1651599073.1000297, 'type': 'trainstep_info'}
